Song Title,Artist,Album Title,Popularity,Genres,Artist Link,Track ID
Micalong,Hana Stretton,Soon,49,Unknown,https://open.spotify.com/artist/26MsHzLvNrTnU4QOKd9nXO,5bdrG031Zp4RaN8Cb4xLf6
Almost Fantasy,Fog Lake,Almost Fantasy,61,slowcore,https://open.spotify.com/artist/04GCjO1r1hPelibCUq9S8H,7remWdQdxAjzfY269DlFgy
Krystal,Matt Maltese,Krystal,68,Unknown,https://open.spotify.com/artist/12j6dJrPXanCBwY599pZxf,5JJPfHpByZ66XsEyCNVi2p
Let It Go,Peter Broderick,Blackberry,43,"neoclassical, minimalism",https://open.spotify.com/artist/3haVJx9TUcufYl1rPyH0iv,1aqM9zbWTRFmq2moQg0i5V
Mandy,she's green,Wisteria,55,"shoegaze, dream pop, slowcore",https://open.spotify.com/artist/42IX4MHpnREqy3N7HugkLY,48WjoS8xixdToSxYDujDmb
Exquisite Tension,You'll Never Get to Heaven,Images,58,"dream pop, shoegaze",https://open.spotify.com/artist/1tHzhv6nGl2i5ZaSSFiwK7,4lt7DuGYXo9M1LcEJ5KrQx
cityscape,tommy oeffling,cityscape,46,slowcore,https://open.spotify.com/artist/5FVxzy9gAv9zyNdlNObDA6,7B8WgxLoBHtvc888MAkRfk
Visions,Loving,If I Am Only My Thoughts,60,Unknown,https://open.spotify.com/artist/4ftctxasGrW5Ud5Pbw6kWq,08BgHsJg8f3Z8QJDAqabIA
Ice Melt,Crumb,Ice Melt,64,"psychedelic pop, bedroom pop",https://open.spotify.com/artist/4kSGbjWGxTchKpIxXPJv0B,1OPkXWnIK8RYyWTp3NWvM9
Infinite Bliss,Maston,Tulips,51,psychedelic pop,https://open.spotify.com/artist/7aE9KUqEEWrasYryOkJG7O,21rsiCXG7sA0CqEUOTMHNY
Only She Knows,Loving,If I Am Only My Thoughts,56,Unknown,https://open.spotify.com/artist/4ftctxasGrW5Ud5Pbw6kWq,6pTSHhupVbWJmO5hGymxkL
Crushed Velvet,Molly Lewis,On The Lips,63,exotica,https://open.spotify.com/artist/16eM95zw2t0KRDniuNFKVt,0ot8VA36fmxBlIqa5xbnf7
